"ORI","IncidentId","IncidentDate","TotalVictims","TotalOffenders","OffenderRaceId"
"AZ0072300","201401718470","2014-10-03",1,1,"B"
"AZ0072300","201401772476","2014-10-11",1,1,"W"
"AZ0072300","201401784264","2014-10-13",1,1,"W"
"AZ0072300","201401814127","2014-10-18",0,0,"U"
"AZ0072300","201401826288","2014-10-20",0,0,"U"
"AZ0072300","201401840974","2014-10-22",1,1,"W"
"AZ0072300","201401860828","2014-10-25",1,1,"U"
"AZ0072300","201401861293","2014-10-25",1,1,"U"
"AZ0072300","201401861500","2014-10-24",1,0,"U"
"AZ0072300","201401864324","2014-10-26",1,1,"A"
"AZ0072300","201401900554","2014-10-31",1,1,"B"
"AZ0072300","201401930385","2014-11-04",1,3,"B"
"AZ0072300","201401973545","2014-11-12",1,2,"W"
"AZ0072300","201401978117","2014-11-12",1,1,"W"
"AZ0072300","201401989854","2014-11-14",1,1,"B"
"AZ0072300","201402045191","2014-11-23",1,0,"U"
"AZ0072300","201402048842","2014-11-23",1,1,"I"
"AZ0072300","201402053390","2014-11-24",1,1,"W"
"AZ0072300","201402053920","2014-11-25",1,1,"W"
"AZ0072300","201402081270","2014-11-29",1,1,"U"
"AZ0072300","201402115547","2014-12-04",1,0,"U"
"AZ0072300","201402119089","2014-12-05",1,1,"B"
"AZ0072300","201402120451","2014-12-05",1,1,"W"
"AZ0072300","201402120612","2014-12-05",1,0,"U"
"AZ0072300","201402135938","2014-12-07",1,1,"W"
"AZ0072300","201402177017","2014-12-14",1,1,"B"
"AZ0072300","201402181100","2014-12-14",1,4,"B"
"AZ0072300","201402197885","2014-12-17",1,3,"W"
"AZ0072300","201402214844","2014-12-19",1,1,"B"
"AZ0072300","201402215800","2014-12-20",1,1,"W"
"AZ0072300","201402223826","2014-12-21",1,1,"W"
"AZ0072300","201402243960","2014-12-24",1,2,"W"
"AZ0072500","1406330","2014-03-19",2,0,"U"
"AZ0072500","1425193","2014-11-22",1,1,"W"
"AZ0072500","1428192","2014-12-30",1,0,"U"
"AZ0072900","14142674","2014-10-31",1,0,"U"
"AZ0080100","201400008933","2014-04-08",1,1,"W"
"AZ0100300","1402070120","2014-02-07",1,1,"W"
"AZ0100300","1404050065","2014-04-05",1,1,"B"
"AZ0100300","1406120116","2014-06-12",0,0,"U"
"AZ0100300","1406120166","2014-06-11",0,0,"U"
"AZ0100300","1407010541","2014-07-01",1,0,"U"
"AZ0130000","14026653","2014-07-28",1,0,"U"
"AZ0130300","14001169","2014-01-27",2,1,"W"
"AZ0140000","201400008262","2014-01-30",1,1,"W"
"AZ0140000","201400043539","2014-06-07",1,0,"U"
"AZ0140500","201400005793","2014-01-21",1,2,"W"
"AZ0140500","201400008843","2014-02-01",0,2,"W"
"AZ0140500","201400021975","2014-03-28",1,1,"W"
"AZ0140500","201400024156","2014-04-07",1,0,"U"
"AZ0140500","201400025978","2014-04-14",1,1,"W"
"AZ0140500","201400027236","2014-04-20",1,1,"W"
"AZ0140500","201400030380","2014-05-03",1,1,"W"
"AZ0140500","201400033971","2014-05-17",2,0,"U"
"AZ0140500","201400038002","2014-06-04",0,1,"W"
"AZ0140500","201400040656","2014-06-16",1,1,"W"
"AZ0140500","201400058103","2014-08-28",2,0,"U"
"CA0010100","14-1420","2014-03-12",2,1,"W"
"CA0010100","14-1525","2014-03-17",1,1,"W"
"CA0010100","14-2387","2014-04-30",1,0,"U"
"CA0010100","14-2461","2014-05-03",1,1,"W"
"CA0010500","140224019","2014-02-23",1,0,"U"
"CA0010600","14-35284","2014-05-10",1,1,"W"
"CA0010600","14-82378","2014-10-24",1,0,"U"
"CA0010800","14-01653","2014-04-28",1,1,"W"
"CA0010800","14-02554","2014-06-30",0,0,"U"
"CA0010900","14-012528","2014-03-11",1,1,"B"
"CA0010900","14-018374","2014-04-13",0,1,"B"
"CA0010900","14-020713","2014-04-26",1,1,"B"
"CA0010900","14-032400","2014-06-29",2,1,"W"
"CA0010900","14-042565","2014-08-19",2,0,"U"
"CA0010900","14-043470","2014-08-27",1,0,"U"
"CA0010900","14-044747","2014-09-03",1,1,"W"
"CA0010900","14-051709","2014-10-10",1,1,"B"
"CA0010900","14-057163","2014-11-08",2,2,"B"
"CA0010900","14-058910","2014-11-17",1,0,"U"
"CA0010900","14-061326","2014-12-02",1,0,"U"
"CA0011000","2014-7412","2014-09-16",2,1,"W"
"CA0011200","2014-20780","2014-05-07",1,0,"U"
"CA0011300","140131021","2014-01-31",1,0,"U"
"CA0011300","140203024","2014-02-03",1,0,"U"
"CA0011300","140628017","2014-06-28",1,0,"U"
"CA0011500","14-0311","2014-07-06",1,0,"U"
"CA0012100","1405-1536","2014-05-09",1,0,"U"
"CA0012100","1406-0487","2014-06-03",1,0,"U"
"CA0012100","1406-1017","2014-06-06",1,0,"U"
"CA0012100","1406-4666","2014-06-27",2,0,"U"
"CA0012100","1409-1451","2014-09-08",3,1,"B"
"CA0012100","1412-1448","2014-12-09",1,1,"W"
"CA0013000","D14-02200","2014-07-24",1,0,"U"
"CA0013000","D14-02204","2014-07-22",1,0,"U"
"CA0019700","14-00561","2014-02-22",4,0,"U"
"CA0019700","14-01647","2014-05-25",1,1,"B"
"CA0019700","14-01680","2014-05-28",1,1,"W"
"CA0019700","14-02568","2014-08-19",0,0,"U"
"CA0019700","14-03538","2014-09-23",1,1,"W"
"CA0030200","14030107","2014-03-15",2,1,"W"
"CA0040200","14-000793","2014-02-02",0,0,"U"
"CA0040200","14-4756","2014-08-04",1,1,"W"
"CA0040200","14-5088","2014-08-20",1,1,"W"
